Iso3_code;Country;Region;Subregion;Indicator;Category;Unit of measurement;Source;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;0;0;0;0;0;0;0;0;:
AND;Andorra;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;0;0;0;:;:;:;:;:;:
AUT;Austria;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;:;:;0;0;1;0;0;1;:
BGR;Bulgaria;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;:;:;0;0;0;0;0;0;:
CZE;Czechia;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;0;1;0;0;0;0;0;0;:
DNK;Denmark;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;0;0;0;0;:;:;:;:;:
ESP;Spain;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS/SDG;:;:;:;:;3;1;0;1;1;0;2;3
EST;Estonia;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;0;0;0;:;:;:;:;:;:
FIN;Finland;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;0;1;0;0;0;0;0;0;:
FRA;France;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;1;1;3;6;3;1;:;:;:
GBR_EW;United Kingdom (England and Wales);Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;1;2;0;4;3;8;3;3;4;:;:;:
GRC;Greece;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;:;:;4;0;0;0;:;1;:
HRV;Croatia;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS/SDG;:;:;:;:;0;0;0;0;0;0;0;:
HUN;Hungary;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;1;2;0;:;:;:;0;1;0;0;0;:
IRL;Ireland;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;:;:;:;:;:;:;:;:;:
ITA;Italy;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;0;1;0;:;:;:;:;1;:
LIE;Liechtenstein;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;0;0;0;0;0;0;:;0;:
LTU;Lithuania;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;3;0;2;1;1;3;1;1;1;1;0;:
LUX;Luxembourg;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;:;:;:;0;0;0;:;:;:
LVA;Latvia;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;2;0;0;0;0;0;0;0;:
MCO;Monaco;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;:;0;0;0;:;:;:;:;:
MDA;Republic of Moldova;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;5;2;:;0;0;0;0;:;:;:
MLT;Malta;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;:;0;0;:;0;0;0;0;:
MNE;Montenegro;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;:;:;:;1;:;0;:;0;:
NLD;Netherlands;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;0;1;0;1;0;1;0;0;0;:
NOR;Norway;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;0;0;0;0;1;0;0;0;:
PRT;Portugal;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;1;0;0;0;2;0;0;0;0;0;:
ROU;Romania;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS/SDG;1;1;0;2;0;0;:;1;:;2;1;:
RUS;Russian Federation;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;:;15;17;20;13;18;6;7;8;:
SRB;Serbia;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;0;0;1;2;0;2;0;0;:
SVK;Slovakia;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;0;0;0;0;0;0;:;0;:
SVN;Slovenia;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;:;:;0;:;0;0;0;0;0;:
SWE;Sweden;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;0;0;0;0;0;0;0;0;0;0;0;:
VAT;Holy See;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by intentional homicide;Counts;CTS;:;:;0;0;0;0;:;:;:;:;:;:
